
 num     #instances         #bytes  class name
 117:           259           6216  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 118:           259           6216  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 119:            86           6192  java.util.logging.Logger
 120:           257           6168  java.util.Collections$UnmodifiableRandomAccessList
 121:           109           6104  com.mysql.cj.conf.BooleanPropertyDefinition
 122:           378           6048  java.lang.Character
 123:           122           5856  java.nio.HeapCharBuffer
 124:           243           5832  javax.management.ObjectName$Property
 125:            90           5760  sun.security.provider.SHA5$SHA384
 126:           118           5664  java.util.Hashtable
 127:           346           5536  org.springframework.beans.factory.support.MethodOverrides
 128:           189           5520  [Ljavax.management.ObjectName$Property;
 129:           230           5520  sun.reflect.generics.factory.CoreReflectionFactory
 130:           227           5448  sun.reflect.NativeConstructorAccessorImpl
 131:           222           5328  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 132:            30           5280  sun.security.ssl.SSLSocketImpl
 133:           130           5200  java.text.DigitList
 134:            50           5200  org.springframework.boot.loader.jar.JarFile
 135:           321           5136  java.util.HashSet
 136:            80           5120  org.springframework.core.MethodParameter
 137:           159           5088  java.util.Collections$UnmodifiableMap
 138:           203           4872  javax.management.ImmutableDescriptor
 139:           149           4768  java.lang.invoke.DirectMethodHandle$Special
 140:           198           4752  sun.reflect.generics.scope.ClassScope
 141:           148           4736  oracle.jdbc.driver.SQLStateMapping
 142:           148           4736  sun.security.util.ObjectIdentifier
 143:           197           4728  sun.reflect.generics.tree.ClassSignature
 144:           117           4680  java.lang.reflect.Parameter
 145:            65           4680  org.springframework.core.annotation.AnnotationTypeMapping
 146:            12           4608  org.apache.tomcat.util.threads.TaskThread
 147:            89           4528  [Ljava.lang.reflect.Method;
 148:            40           4480  org.apache.coyote.Response
 149:            40           4480  sun.nio.ch.SocketChannelImpl
 150:           139           4448  java.util.logging.LogManager$LogNode
 151:           138           4416  com.sun.jmx.mbeanserver.ConvertingMethod
 152:           276           4416  java.lang.Byte
 153:            77           4312  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 154:           179           4296  java.lang.invoke.LambdaForm$NamedFunction
 155:           157           4272  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 156:           178           4272  org.springframework.beans.MutablePropertyValues
 157:           156           4248  [Lorg.springframework.core.annotation.MergedAnnotation;
 158:           197           4240  [Lsun.reflect.generics.tree.ClassTypeSignature;
 159:           106           4240  java.io.ObjectStreamField
 160:           265           4240  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 161:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 162:            40           4160  org.apache.coyote.http11.Http11Processor
 163:           259           4144  java.lang.Short
 164:           259           4144  org.springframework.boot.autoconfigure.condition.ConditionMessage
 165:           172           4128  com.fasterxml.jackson.databind.type.ClassKey
 166:           231           4120  [Lsun.reflect.generics.tree.FormalTypeParameter;
 167:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject;
 168:            57           4104  sun.reflect.DelegatingClassLoader
 169:           128           4096  java.util.Vector
 170:           102           4080  java.security.ProtectionDomain
 171:           122           3904  java.lang.ThreadLocal$ThreadLocalMap$Entry
 172:           122           3904  sun.security.util.MemoryCache
 173:           162           3888  sun.reflect.NativeMethodAccessorImpl
 174:           121           3872  java.nio.file.attribute.FileTime
 175:           241           3856  org.springframework.core.ResolvableType$DefaultVariableResolver
 176:            80           3840  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 177:            60           3840  com.sun.crypto.provider.CipherCore
 178:            60           3840  javax.crypto.Cipher
 179:            60           3840  org.springframework.boot.loader.jar.JarFileWrapper
 180:            95           3800  javax.management.ObjectName
 181:            10           3760  java.lang.Thread
 182:            67           3752  com.mysql.cj.conf.StringPropertyDefinition
 183:           117           3744  java.util.zip.ZipCoder
 184:           156           3744  org.springframework.core.annotation.MergedAnnotationsCollection
 185:            31           3696  [S
 186:           231           3696  sun.reflect.DelegatingConstructorAccessorImpl
 187:            66           3696  sun.security.util.MemoryCache$SoftCacheEntry
 188:           114           3648  java.net.InetAddress$InetAddressHolder
 189:           227           3632  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 190:           147           3528  java.util.jar.Attributes$Name
 191:            49           3528  java.util.regex.Pattern
 192:            40           3520  org.apache.coyote.RequestInfo
 193:            40           3520  org.apache.coyote.http11.Http11InputBuffer
 194:            36           3456  org.apache.ibatis.mapping.MappedStatement
 195:           108           3456  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 196:           215           3440  sun.reflect.DelegatingMethodAccessorImpl
 197:           104           3328  java.security.CodeSource
 198:            38           3224  [Ljava.lang.invoke.MethodHandle;
 199:            31           3224  sun.security.ssl.SSLSessionImpl
 200:            50           3200  org.springframework.boot.loader.jar.JarFileEntries$1
 201:            99           3168  org.springframework.boot.loader.data.RandomAccessDataFile
 202:            55           3080  java.util.ResourceBundle$CacheKey
 203:           126           3024  java.security.Provider$UString
 204:            47           3008  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 205:            61           2928  sun.security.ssl.CipherBox
 206:            91           2912  java.security.MessageDigest$Delegate
 207:            36           2880  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 208:            40           2880  org.apache.catalina.connector.InputBuffer
 209:            40           2880  org.apache.tomcat.util.http.Parameters
 210:            41           2848  [Ljava.security.ProtectionDomain;
 211:           117           2808  java.util.ArrayDeque
 212:            27           2800  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 213:            50           2800  org.springframework.boot.loader.jar.JarFileEntries
 214:            87           2784  org.springframework.core.type.classreading.SimpleMethodMetadata
 215:            87           2784  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 216:           146           2736  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 217:           112           2688  java.net.Inet4Address
 218:            52           2640  [Ljavax.management.MBeanAttributeInfo;
 219:            55           2640  java.util.ResourceBundle$BundleReference
 220:            82           2624  java.io.FileDescriptor
 221:           161           2576  com.sun.proxy.$Proxy32
 222:            80           2560  [Lorg.apache.coyote.http11.InputFilter;
 223:            80           2560  [Lorg.apache.coyote.http11.OutputFilter;
 224:            80           2560  java.util.concurrent.Semaphore$NonfairSync
 225:            40           2560  org.apache.catalina.connector.OutputBuffer
 226:            40           2560  org.apache.catalina.connector.Response
 227:            40           2560  org.apache.catalina.mapper.MappingData
 228:            40           2560  org.apache.coyote.http11.filters.ChunkedInputFilter
 229:           117           2528  [Lsun.reflect.generics.tree.FieldTypeSignature;
 230:           155           2480  java.util.Collections$UnmodifiableSet
 231:            51           2448  javax.management.MBeanInfo
 232:            34           2448  org.apache.ibatis.mapping.ResultMapping
 233:           101           2424  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 234:            60           2400  com.sun.crypto.provider.CipherBlockChaining
 235:            60           2400  javax.crypto.Mac
 236:            75           2400  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 237:            99           2376  java.util.regex.Pattern$GroupHead
 238:            99           2376  java.util.regex.Pattern$GroupTail
 239:            74           2368  org.springframework.util.MimeType
 240:            73           2336  java.lang.reflect.WeakCache$CacheValue
 241:            73           2336  java.util.regex.Pattern$Curly
 242:            97           2328  java.util.concurrent.atomic.AtomicLong
 243:            22           2288  org.springframework.beans.factory.support.GenericBeanDefinition
 244:            40           2240  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 245:            40           2240  org.apache.catalina.connector.CoyoteReader
 246:            40           2240  org.apache.coyote.http11.Http11OutputBuffer
 247:            68           2176  oracle.jdbc.logging.annotations.Feature
 248:            68           2176  org.springframework.http.HttpStatus
 249:            90           2160  java.util.regex.Pattern$Slice
 250:            53           2120  sun.security.ec.NamedCurve
 251:            33           2112  java.security.SecureRandom
 252:            52           2080  java.security.AccessControlContext
 253:            64           2048  java.lang.reflect.Proxy$Key1
 254:            64           2048  javax.management.MBeanAttributeInfo
 255:            64           2048  org.springframework.asm.Type
 256:            31           1984  com.mysql.cj.conf.IntegerPropertyDefinition
 257:            41           1968  com.mysql.cj.MysqlType
 258:            82           1968  org.springframework.cglib.core.Signature
 259:            61           1952  java.util.regex.Pattern$Branch
 260:            61           1944  [Ljava.util.regex.Pattern$Node;
 261:            81           1944  java.net.InetSocketAddress$InetSocketAddressHolder
 262:            81           1944  java.util.regex.Pattern$1
 263:            60           1920  com.mysql.cj.conf.EnumProperty
 264:            60           1920  com.sun.crypto.provider.AESCrypt
 265:            60           1920  com.sun.crypto.provider.HmacCore$HmacSHA384
 266:            40           1920  java.util.TreeMap
 267:            80           1920  org.apache.ibatis.reflection.invoker.MethodInvoker
 268:            80           1920  org.apache.tomcat.util.http.MimeHeaders
 269:            60           1920  sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair
 270:            60           1920  sun.security.ssl.SSLSessionContextImpl
 271:            40           1920  sun.util.locale.LocaleObjectCache$CacheEntry
 272:            72           1904  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 273:            59           1888  sun.reflect.annotation.AnnotationType
 274:            58           1856  java.util.Collections$SynchronizedMap
 275:            58           1856  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 276:            77           1848  java.util.regex.Pattern$Single
 277:            10           1840  com.mysql.cj.jdbc.ConnectionImpl
 278:            81           1816  [Ljava.lang.reflect.TypeVariable;
 279:           113           1808  java.util.jar.Attributes
 280:            45           1800  java.lang.invoke.DirectMethodHandle$Interface
 281:            55           1760  java.util.ResourceBundle$LoaderReference
 282:            65           1744  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 283:            31           1736  org.apache.tomcat.util.res.StringManager$1
 284:            65           1704  [Ljava.lang.annotation.ElementType;
 285:            66           1704  [Ljava.lang.reflect.Parameter;
 286:             3           1704  [[B
 287:            53           1696  java.security.spec.EllipticCurve
 288:            10           1680  com.mysql.cj.protocol.a.NativeProtocol
 289:            42           1680  org.apache.tomcat.util.log.UserDataHelper
 290:            30           1680  sun.security.ssl.InputRecord
 291:           103           1648  java.security.ProtectionDomain$Key
 292:            41           1640  java.math.BigDecimal
 293:           102           1632  [Ljava.security.Principal;
 294:            77           1632  [Lorg.springframework.core.type.MethodMetadata;
 295:            51           1632  com.mysql.cj.ServerVersion
 296:            68           1632  java.util.regex.Pattern$BitClass
 297:           102           1632  org.apache.ibatis.scripting.xmltags.StaticTextSqlNode
 298:            40           1600  java.util.concurrent.LinkedBlockingDeque
 299:            40           1600  org.apache.coyote.AsyncStateMachine
 300:            40           1600  org.apache.coyote.http11.filters.ChunkedOutputFilter
 301:            40           1600  org.apache.coyote.http11.filters.IdentityInputFilter
 302:            40           1600  org.apache.tomcat.util.buf.Utf8Decoder
 303:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 304:            40           1600  sun.nio.ch.SocketAdaptor
 305:            62           1584  [[I
 306:            28           1568  org.apache.ibatis.mapping.ParameterMapping
 307:            65           1560  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 308:            88           1504  [Ljava.lang.reflect.Constructor;
 309:            31           1488  com.fasterxml.jackson.databind.type.SimpleType
 310:            31           1488  java.util.Properties
 311:            61           1464  org.springframework.boot.autoconfigure.condition.OnClassCondition
 312:            61           1464  sun.security.ssl.MAC
 313:            91           1456  java.util.concurrent.atomic.AtomicBoolean
 314:            10           1440  com.mysql.cj.log.BaseMetricsHolder
 315:            60           1440  com.sun.crypto.provider.AESCipher$General
 316:            30           1440  java.net.SocketInputStream
 317:            30           1440  java.net.SocketOutputStream
 318:            30           1440  java.time.temporal.ValueRange
 319:            36           1440  java.util.PropertyResourceBundle
 320:            60           1440  org.apache.ibatis.ognl.internal.Entry
 321:            36           1440  org.springframework.util.ConcurrentReferenceHashMap
 322:            60           1440  sun.reflect.generics.tree.FormalTypeParameter
 323:            30           1440  sun.security.ssl.OutputRecord
 324:            87           1392  com.sun.proxy.$Proxy26
 325:            15           1376  [Ljava.lang.Byte;
 326:             1           1376  [Lsun.misc.FDBigInteger;
 327:            57           1368  java.util.regex.Pattern$Ctype
 328:            39           1328  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 329:            55           1320  java.util.Collections$SingletonList
 330:            33           1320  org.springframework.core.annotation.TypeMappedAnnotations
 331:            41           1312  [Ljava.text.SimpleDateFormat;
 332:            41           1312  com.mysql.cj.MysqlCharset
 333:            41           1312  java.security.Permissions
 334:            41           1312  sun.security.util.DerInputBuffer
 335:            41           1312  sun.security.util.DerValue
 336:            18           1296  java.lang.reflect.Field
 337:            81           1296  java.net.InetSocketAddress
 338:            54           1296  java.security.spec.ECPoint
 339:            39           1280  [Ljava.math.BigInteger;
 340:            40           1280  [Ljava.nio.channels.SelectionKey;
 341:            40           1280  [Lorg.apache.tomcat.util.http.ServerCookie;
 342:            32           1280  java.util.EnumMap
 343:            80           1280  java.util.concurrent.Semaphore
 344:            40           1280  org.apache.catalina.core.ApplicationFilterChain
 345:            40           1280  org.apache.coyote.http11.Http11InputBuffer$HeaderParseData
 346:            40           1280  org.apache.coyote.http11.filters.BufferedInputFilter
 347:            40           1280  org.apache.coyote.http11.filters.IdentityOutputFilter
 348:            40           1280  org.apache.tomcat.util.buf.B2CConverter
 349:            40           1280  org.apache.tomcat.util.buf.UEncoder
 350:            40           1280  org.apache.tomcat.util.net.NioChannel
 351:            53           1272  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 352:            79           1264  org.springframework.expression.common.LiteralExpression
 353:            39           1248  java.io.FilePermission
 354:            39           1248  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 355:            11           1232  org.springframework.context.annotation.ScannedGenericBeanDefinition
 356:            17           1224  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 357:            30           1200  com.mysql.cj.conf.MemorySizeProperty
 358:            30           1200  com.mysql.cj.protocol.ExportControlled$X509TrustManagerWrapper
 359:            30           1200  java.time.temporal.ChronoField
 360:            50           1200  org.springframework.boot.loader.jar.Handler
 361:            50           1200  org.springframework.core.convert.TypeDescriptor
 362:            50           1200  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 363:            30           1200  sun.security.ssl.HandshakeHash
 364:            30           1200  sun.security.ssl.SSLContextImpl$TLSContext
 365:            37           1184  org.springframework.core.annotation.AttributeMethods
 366:            49           1176  sun.misc.URLClassPath$Loader
 367:            29           1160  sun.reflect.generics.repository.MethodRepository
 368:            24           1152  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 369:            24           1152  org.springframework.beans.PropertyValue
 370:            71           1136  org.apache.juli.logging.DirectJDKLog
 371:            42           1128  [Ljavax.management.MBeanOperationInfo;
 372:            47           1128  org.apache.coyote.ActionCode
 373:            47           1128  org.springframework.core.io.ClassPathResource
 374:            10           1120  com.mysql.cj.NativeSession
 375:            69           1104  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 376:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 377:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 378:            34           1088  sun.reflect.generics.tree.MethodTypeSignature
 379:            27           1080  java.time.format.DateTimeFormatter
 380:            45           1072  [Ljava.security.cert.Certificate;
 381:            44           1056  java.io.ExpiringCache$Entry
 382:            66           1056  java.util.HashMap$KeySet
 383:            33           1056  sun.security.ssl.ProtocolList
 384:             1           1040  [Ljava.lang.Integer;
 385:             1           1040  [Ljava.lang.Long;
 386:             1           1040  [Ljava.lang.Short;
 387:            32           1024  java.io.File
 388:            16           1024  java.nio.DirectByteBuffer
 389:            32           1024  org.springframework.core.type.StandardAnnotationMetadata
 390:            63           1008  com.sun.proxy.$Proxy0
 391:            63           1008  com.sun.proxy.$Proxy3
 392:            25           1000  javax.management.MBeanOperationInfo
 393:            25           1000  org.springframework.core.log.CompositeLog
 394:            25           1000  sun.security.ssl.EllipticCurvesExtension$NamedEllipticCurve
 395:            41            984  org.apache.ibatis.type.JdbcType
 396:            41            984  org.apache.tomcat.util.http.parser.HttpParser
 397:            41            984  sun.security.util.DerInputStream
 398:            61            976  java.util.LinkedHashMap$LinkedEntrySet
 399:            61            976  java.util.regex.Pattern$BranchConn
 400:            60            960  com.sun.proxy.$Proxy16
 401:            60            960  com.sun.proxy.$Proxy4
 402:            30            960  java.net.Socket
 403:            30            960  java.security.Provider$EngineDescription
 404:            40            960  org.apache.catalina.core.ApplicationMapping
 405:            40            960  org.apache.catalina.util.ParameterMap
 406:            40            960  org.apache.coyote.http11.filters.GzipOutputFilter
 407:            40            960  org.apache.coyote.http11.filters.GzipOutputFilter$FakeOutputStream
 408:            40            960  org.apache.tomcat.util.http.ServerCookies
 409:            40            960  org.apache.tomcat.util.net.NioEndpoint$SocketProcessor
 410:            40            960  org.apache.tomcat.util.net.SocketBufferHandler
 411:            40            960  org.apache.tomcat.util.net.WriteBuffer
 412:            17            952  sun.misc.URLClassPath$JarLoader
 413:            28            936  [Ljava.io.ObjectStreamField;
 414:            39            936  [Lsun.security.x509.AVA;
 415:            39            936  java.io.FilePermissionCollection
 416:            39            936  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 417:            39            936  sun.security.x509.AVA
 418:            39            936  sun.security.x509.RDN
 419:            29            928  org.springframework.format.support.FormattingConversionService$PrinterConverter
 420:            38            912  java.util.Arrays$ArrayList
 421:            57            912  org.apache.ibatis.scripting.xmltags.MixedSqlNode
 422:            19            912  sun.management.DiagnosticCommandInfo
 423:             9            896  [D
 424:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
